date,et0
14/07/2024,4.984899
15/07/2024,4.803899
16/07/2024,5.252659
17/07/2024,5.891429
18/07/2024,5.940889
19/07/2024,6.140629
20/07/2024,4.234529
21/07/2024,5.930389
22/07/2024,6.51631
23/07/2024,6.488279
24/07/2024,6.58604
25/07/2024,6.3101
26/07/2024,5.952889
27/07/2024,5.801249
28/07/2024,5.875999
29/07/2024,3.867439
30/07/2024,5.689149
31/07/2024,5.50217
01/08/2024,5.088349
02/08/2024,5.381179
03/08/2024,5.699419
04/08/2024,6.15984
05/08/2024,5.850299
06/08/2024,5.300869
07/08/2024,5.63174
08/08/2024,5.853799
09/08/2024,5.98787
10/08/2024,6.295569
11/08/2024,5.84307
12/08/2024,5.30096
